date,balance,strength,flexibility,endurance,core,semangat,total
2024-08-03,7,7,7,7,7,7,42
2024-08-04,8,8,7,7,8,8,46
2024-08-10,9,9,8,8,9,8,51
2024-08-11,6,6,6,6,7,6,37
2024-08-17,8,8,9,8,9,9,51
2024-08-18,7,7,7,7,7,7,43
2024-08-24,9,9,9,9,9,9,54
