date,balance,strength,flexibility,endurance,core,semangat,total
2024-08-03,8,7,6,8,8,9,46
2024-08-04,6,7,7,6,6,7,39
2024-08-10,9,8,9,9,9,9,53
2024-08-11,7,6,6,7,7,7,40
2024-08-17,8,9,8,8,8,8,49
2024-08-18,7,8,7,7,7,7,43
2024-08-24,9,8,9,8,8,9,51
